the night
night by
by all
all the
the operation
operation of
of the
the orbs
orbs from
from whom
whom we
we do
do exist
exist and
and cease
cease to
to be
be here
here disclaim
disclaim all
all my
my paternal
paternal care
care propinquity
propinquity and
and property
property of
of blood
blood and
and as
as stranger
stranger to
to my
my heart
heart and
and me
me hold
hold thee
thee from
from this
this for
for ever
ever the
the barbarous
barbarous scythian
scythian or
or he
he that
that makes
makes his
his generation
generation messes
messes to
to gorge
gorge his
his appetite
appetite shall
shall to
to my
my bosom
bosom be
be as
as well
well pitied
pitied and
and relieved
relieved as
as thou
thou my
my sometime
sometime daughter
daughter kent
kent good
good my
my liege
liege king
king lear
lear peace
peace kent
kent come
come not
not between
between the
the dragon
dragon and
and his
his wrath
wrath loved
loved her
her most
most and
and thought
thought to
to set
set my
my rest
rest on
on her
her kind
kind nursery
nursery hence
hence and
and avoid
avoid my
my sight
sight so
so be
be my
my grave
grave my
my peace
peace as
as here
here give
give her
her heart
heart from
from her
her call
call france
france who
who stirs
stirs call
call burgundy
burgundy cornwall
cornwall and
and albany
albany with
with my
my two
two daughters
daughters dowers
dowers digest
digest this
this third
third let
let pride
pride which
which she
she calls
calls plainness
plainness marry
marry her
her do
do invest
invest you
you jointly
jointly with
with my
my power
power pre
pre eminence
eminence and
and all
all the
the large
large effects
effects that
that troop
troop with
with majesty
majesty ourself
ourself by
by monthly
monthly course
course with
with reservation
reservation of
of an
an hundred
hundred knights
knights by
by you
you to
to be
be shall
shall our
our abode
abode make
make with
with you
you by
by due
due turns
turns only
only we
we still
still retain
retain the
the name
name and
and all
all the
the additions
additions to
to king
king the
the sway
sway revenue
revenue execution
execution of
of the
the rest
rest beloved
beloved sons
sons be
be yours
yours which
which to
to confirm
confirm this
this coronet
coronet part
part betwixt
betwixt you
you giving
giving the
the crown
crown kent
kent royal
royal lear
lear whom
whom have
have ever
ever as
as my
my king
king loved
loved as
as my
my father
father as
as my
my master
master as
as my
my great
great patron
patron thought
thought on
on in
in my
my prayers
prayers king
king lear
lear the
the bow
bow is
is bent
bent and
and drawn
drawn make
make from
from the
the shaft
shaft kent
kent let
let it
it fall
fall rather
rather though
though the
the fork
fork invade
invade the
the region
region of
of my
my heart
heart be
be kent
kent unmannerly
unmannerly when
when lear
lear is
is mad
mad what
what wilt
wilt thou
thou do
do old
old man
man thou
thou that
that duty
duty shall
shall have
have dread
dread to
to speak
speak when
when power
power to
to flattery
flattery bows
bows to
to plainness
plainness bound
bound when
when majesty
majesty stoops
stoops to
to folly
folly reverse
reverse thy
thy doom
doom and
and in
in thy
thy best
best consideration
consideration cheque
cheque this
this hideous
hideous rashness
rashness answer
answer my
my life
life my
my judgment
judgment thy
thy youngest
youngest daughter
daughter does
does not
not love
love thee
thee least
least nor
nor are
are those
those empty
empty hearted
hearted whose
whose low
low sound
sound reverbs
reverbs no
no hollowness
hollowness king
king lear
lear kent
kent on
on thy
thy life
life no
no more
more kent
kent my
my life
life never
never held
held but
but as
as pawn
pawn to
to wage
wage against
against thy
thy enemies
enemies nor
nor fear
fear to
to lose
lose it
it thy
thy safety
safety being
being the
the motive
motive king
king lear
lear out
out of
of my
my sight
sight kent
kent see
see better
better lear
lear and
and let
let me
me still
still remain
remain the
the true
true blank
blank of
of thine
thine eye
eye king
king lear
lear now
now by
by apollo
apollo kent
kent now
now by
by apollo
apollo king
king thou
thou thy
thy gods
gods in
in vain
vain king
king lear
lear vassal
vassal miscreant
miscreant laying
laying his
his hand
hand on
on his
his sword
sword albany
albany cornwall
cornwall dear
dear sir
sir forbear
forbear kent
kent do
do kill
kill thy
thy physician
physician and
and the
the fee
fee bestow
bestow upon
upon thy
thy foul
foul disease
disease revoke
revoke thy
thy doom
doom or
or whilst
whilst can
can vent
vent clamour
clamour from
from my
my throat
throat tell
tell thee
thee thou
thou dost
dost evil
evil king
king lear
lear hear
hear me
me recreant
recreant on
on thine
thine allegiance
allegiance hear
hear me
me since
since thou
thou hast
hast sought
sought to
to make
make us
us break
break our
our vow
vow which
which we
we durst
durst never
never yet
yet and
and with
with pride
pride to
to come
come between
between our
our sentence
sentence and
and our
our power
power which
which nor
nor our
our nature
nature nor
nor our
our place
place can
can bear
bear our
our potency
potency made
made good
good take
take thy
thy reward
reward five
five days
days we
we do
do allot
allot thee
thee for
for provision
provision to
to shield
shield thee
thee from
from diseases
diseases of
of the
the world
world and
and on
on the
the sixth
sixth to
to turn
turn thy
thy hated
hated back
back upon
upon our
our kingdom
kingdom if
if on
on the
the tenth
tenth day
day following
following thy
thy trunk
trunk be
be found
